AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_landbasedwind_class3_moderate_2,AZ_utilitypv_class1_moderate_1,AZ_utilitypv_class1_moderate_2,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_utilitypv_class1_moderate_2,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_landbasedwind_class3_moderate_2,CO_utilitypv_class1_moderate_1,CO_utilitypv_class1_moderate_2,ID_landbasedwind_class3_moderate_1,ID_landbasedwind_class3_moderate_2,ID_utilitypv_class1_moderate_1,ID_utilitypv_class1_moderate_2,MT_landbasedwind_class3_moderate_1,MT_landbasedwind_class3_moderate_2,MT_utilitypv_class1_moderate_1,MT_utilitypv_class1_moderate_2,NM_landbasedwind_class3_moderate_1,NM_landbasedwind_class3_moderate_2,NM_utilitypv_class1_moderate_1,NM_utilitypv_class1_moderate_2,NV_landbasedwind_class3_moderate_1,NV_landbasedwind_class3_moderate_2,NV_utilitypv_class1_moderate_1,NV_utilitypv_class1_moderate_2,OR_landbasedwind_class3_moderate_1,OR_landbasedwind_class3_moderate_2,OR_utilitypv_class1_moderate_1,OR_utilitypv_class1_moderate_2,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_landbasedwind_class3_moderate_2,UT_utilitypv_class1_moderate_1,UT_utilitypv_class1_moderate_2,WA_landbasedwind_class3_moderate_1,WA_landbasedwind_class3_moderate_2,WA_utilitypv_class1_moderate_1,WA_utilitypv_class1_moderate_2,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_landbasedwind_class3_moderate_2,WY_utilitypv_class1_moderate_1,WY_utilitypv_class1_moderate_2,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.404007265586647,0.0,0.1517593340124619,0.0,0.2655088372074137,0.0,0.2879997208523308,0.0,0.7488510843373494,0.0,0.2658456577628655,0.0,0.0,0.0,0.0164526363385164,0.0,0.0428925811437403,0.0,0.1073454883665997,0.0,0.7054141179657432,0.0,0.2915651798248291,0.138683021068573,0.0,0.0,0.2349999994039535,0.0,0.0,0.0729735046625137,0.0690814480185508,0.6426525115966797,0.630028247833252,0.0,0.0,0.2417919039726257,0.3252542614936828,0.0,0.0,0.8849251866340637,0.8687310814857483,0.0,0.0,0.4695972800254822,0.3662901818752289,0.0,0.0,0.1036143600940704,0.1077253371477127,0.0,0.0,0.6480308175086975,0.5800788998603821,0.0,0.0,0.0003112532140221,0.0003569068503566,0.1894829273223877,0.1392678469419479,0.0,0.0,0.8396047353744507,0.5045167207717896,0.0,0.0,0.0135474251583218,0.1593086272478103,0.5919464230537415,0.5784267783164978,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.79,0.83,0.84,0.85,0.86,0.85,0.84,0.84,0.84,0.85,0.85,0.86,0.85,0.84,0.87,0.85,0.85,0.81,0.81,0.82,0.81,0.81,0.81,0.86,0.85,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.86,0.84,0.84,0.85,0.85,0.84,0.84,0.87,0.87,0.88,0.87,0.88,0.85,0.87,0.88,0.86,0.88,0.85,0.85,0.86,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.85,0.85,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.8100000023841858,0.81,0.8100000023841858,0.81,0.81,0.8,0.81,0.81,0.8100000023841858,0.81,0.82,0.82,0.82,0.91,0.92,0.92,0.92,0.91,0.81,0.81,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.82
0.3868788414334805,0.0,0.0966665184510771,0.0,0.2570119506904276,0.0,0.2959963710803014,0.0,0.7359155421686747,0.0,0.4503549610004793,0.0,0.014,0.0,0.0174566806501042,0.0,0.0443876867594023,0.0,0.1250683831345222,0.0,0.632835002222586,0.0,0.3150306046009063,0.2187535464763641,0.0,0.0,0.2639999985694885,0.0,0.0,0.0754198059439659,0.0700228735804557,0.6385335326194763,0.6384066343307495,0.0,0.0,0.2654688656330108,0.2865608334541321,0.0,0.0,0.8892031908035278,0.8823161721229553,0.0,0.0,0.5093788504600525,0.3099035024642944,0.0,0.0,0.1078659519553184,0.1024911180138588,0.0,0.0,0.6429840922355652,0.5921879410743713,0.0,0.0,0.0162632744759321,0.0088537698611617,0.2081023156642913,0.1731212884187698,0.0,0.0,0.7971659302711487,0.4705938100814819,0.0,0.0,0.0071862745098769,0.1571044921875,0.5838651061058044,0.551824688911438,0.0,0.0,0.79,0.79,0.79,0.78,0.78,0.78,0.81,0.82,0.82,0.83,0.83,0.82,0.82,0.81,0.83,0.83,0.83,0.83,0.82,0.84,0.82,0.83,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.83,0.81,0.82,0.81,0.81,0.81,0.81,0.82,0.85,0.83,0.83,0.83,0.84,0.82,0.82,0.85,0.85,0.86,0.85,0.86,0.84,0.85,0.85,0.85,0.86,0.84,0.84,0.84,0.81,0.81,0.81,0.81,0.81,0.8100000023841858,0.81,0.83,0.83,0.8100000023841858,0.81,0.83,0.8100000023841858,0.84,0.83,0.7900000214576721,0.79,0.7900000214576721,0.79,0.79,0.79,0.79,0.8,0.7900000214576721,0.79,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.89,0.8,0.8,0.8,0.78,0.8,0.81,0.81,0.8,0.78,0.8
0.4017839960726559,0.0,0.1212979487740795,0.0,0.3064484641461228,0.0,0.3129437052200613,0.0,0.7695171084337349,0.0,0.4942967449562072,0.0,0.0,0.0,0.0183799140897786,0.0,0.0454191138588356,0.0,0.1387246368253218,0.0,0.598194258130103,0.0,0.3438002169132232,0.2771994769573211,0.0,0.0,0.1749999970197677,0.0,0.0,0.0853933840990066,0.075068898499012,0.6438517570495605,0.6156371235847473,0.0,0.0,0.2810241878032684,0.2581492662429809,0.0,0.0,0.8938531875610352,0.8617874979972839,0.0,0.0,0.5471153855323792,0.2671831250190735,0.0,0.0,0.128029853105545,0.0989676713943481,0.0,0.0,0.6484801173210144,0.597943127155304,0.0,0.0,0.0448122322559356,0.0258985646069049,0.2546534836292267,0.2323237657546997,0.0,0.0,0.7531197667121887,0.4389242231845855,0.0,0.0,0.0123636052012443,0.159596100449562,0.5666990280151367,0.5352821350097656,0.0,0.0,0.78,0.78,0.79,0.77,0.78,0.77,0.8,0.8,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.81,0.81,0.82,0.8,0.82,0.79,0.82,0.8,0.8,0.8,0.8,0.79,0.8,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.84,0.82,0.82,0.82,0.83,0.82,0.82,0.84,0.84,0.85,0.84,0.85,0.83,0.84,0.84,0.83,0.85,0.83,0.83,0.83,0.8,0.8,0.8,0.8,0.8,0.800000011920929,0.8,0.81,0.82,0.800000011920929,0.8,0.81,0.800000011920929,0.82,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.78,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.89,0.88,0.89,0.88,0.79,0.8,0.8,0.78,0.79,0.8,0.8,0.8,0.78,0.8
0.4335915562101129,0.0,0.1563173933727017,0.0,0.3484586236175301,0.0,0.3319983251139852,0.0,0.7956048192771084,0.0,0.410933025404157,0.0,0.0,0.0,0.0192224371373307,0.0,0.0461045852653271,0.0,0.1396251328687847,0.0,0.6140515936324591,0.0,0.361405074596405,0.2938065826892853,0.0,0.0,0.1209999993443489,0.0,0.0,0.1113042086362838,0.0897063538432121,0.6476554274559021,0.6048864722251892,0.0,0.0,0.3034162819385528,0.2662670314311981,0.0,0.0,0.9017207622528076,0.9079591035842896,0.0,0.0,0.5627017021179199,0.233999490737915,0.0,0.0,0.1428222209215164,0.1062812656164169,0.0,0.0,0.6422713398933411,0.5914829969406128,0.0,0.0,0.0679531544446945,0.0438026711344718,0.2982950806617737,0.2925035059452057,0.0,0.0,0.7360890507698059,0.4129838943481445,0.0,0.0,0.0094253923743963,0.1563316732645034,0.5381775498390198,0.5396825671195984,0.0,0.0,0.78,0.78,0.79,0.77,0.78,0.77,0.79,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.81,0.8,0.81,0.8,0.81,0.78,0.81,0.79,0.8,0.8,0.8,0.79,0.79,0.81,0.81,0.81,0.82,0.8,0.8,0.81,0.8,0.8,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.84,0.83,0.84,0.82,0.83,0.83,0.83,0.84,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.7900000214576721,0.79,0.81,0.81,0.7900000214576721,0.79,0.81,0.7900000214576721,0.82,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.78,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.89,0.88,0.89,0.88,0.79,0.8,0.8,0.78,0.8,0.8,0.8,0.8,0.78,0.8
0.4156552773686794,0.0,0.1899577240654775,0.0,0.3540537688229236,0.0,0.3753418628454452,0.0,0.7921034939759036,0.0,0.4271774369253562,0.0,0.001,0.0,0.0212060086915019,0.0,0.0469842864502833,0.0,0.1285913251446793,0.0,0.6156742097790613,0.0,0.3939605057239532,0.3437119126319885,0.0,0.0,0.0799999982118606,0.0,0.0,0.1332828849554062,0.1004584282636642,0.6550626754760742,0.59588223695755,0.0,0.0,0.3003007769584656,0.3064294755458832,0.0,0.0,0.9291707277297974,0.9047107696533204,0.0,0.0,0.5257041454315186,0.2078039348125457,0.0,0.0,0.1506186127662658,0.1368996649980545,0.0,0.0,0.6186835169792175,0.5917331576347351,0.0,0.0,0.0882277861237526,0.0565750561654567,0.3353785574436188,0.3114310801029205,0.0,0.0,0.7209778428077698,0.3838599324226379,0.0,0.0,0.0128395305946469,0.1404593735933303,0.5011938214302063,0.5243717432022095,0.0,0.0,0.79,0.79,0.8,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.81,0.81,0.8,0.81,0.8,0.81,0.78,0.81,0.8,0.81,0.81,0.81,0.8,0.8,0.81,0.81,0.82,0.84,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.82,0.82,0.83,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.82,0.83,0.83,0.83,0.84,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.7900000214576721,0.79,0.81,0.81,0.7900000214576721,0.79,0.81,0.7900000214576721,0.81,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.79,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.9,0.89,0.89,0.89,0.8,0.81,0.81,0.79,0.81,0.81,0.81,0.81,0.79,0.81
0.3737572901325478,0.0,0.2340834095205635,0.0,0.3337386888061708,0.0,0.4228708476784218,0.0,0.7292501807228915,0.0,0.3999571658895812,0.0,0.027,0.0,0.0179357934135497,0.0,0.0476872746007212,0.0,0.1270099799220503,0.0,0.6048362943864569,0.0,0.4188807308673858,0.4113747477531433,0.0,0.0,0.0740000009536743,0.0,0.0,0.1607212573289871,0.1116353720426559,0.5994247198104858,0.5644028186798096,0.0,0.0,0.3266609609127044,0.3425660729408264,0.0,0.0,0.928838312625885,0.9055601954460144,0.0,0.0,0.4659115374088287,0.175460010766983,0.0,0.0,0.1680912673473358,0.1588150113821029,0.0,0.0,0.4649956524372101,0.5022317171096802,0.0,0.0,0.1141015365719795,0.0667297318577766,0.3361509144306183,0.3091694414615631,0.0,0.0,0.7393324375152588,0.3978230357170105,0.0,0.0,0.0066368579864501,0.1320571899414062,0.481765866279602,0.4944551587104797,0.0,0.0,0.8,0.8,0.81,0.79,0.8,0.79,0.8,0.8,0.81,0.81,0.82,0.8,0.8,0.8,0.81,0.82,0.81,0.82,0.8,0.81,0.79,0.82,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.87,0.89,0.87,0.87,0.88,0.87,0.86,0.87,0.86,0.86,0.86,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.84,0.84,0.85,0.83,0.83,0.83,0.81,0.81,0.81,0.81,0.81,0.8100000023841858,0.81,0.82,0.82,0.8100000023841858,0.81,0.82,0.8100000023841858,0.82,0.82,0.800000011920929,0.8,0.800000011920929,0.8,0.8,0.81,0.8,0.81,0.800000011920929,0.8,0.81,0.82,0.82,0.91,0.91,0.9,0.91,0.9,0.85,0.86,0.86,0.83,0.86,0.86,0.85,0.86,0.83,0.85
0.3468683357879234,0.0,0.1887161970773392,0.0,0.3264506094012911,0.0,0.3729678049688285,0.0,0.7530859036144579,0.0,0.3693939605211556,0.0,0.02,0.0,0.0163601698108467,0.0,0.0592341576506955,0.0,0.1187745069091768,0.0,0.5935347211755071,0.0,0.4284307062625885,0.4661491215229034,0.0,0.0,0.0379999987781047,0.0,0.0,0.1416938304901123,0.1085148900747299,0.5601255297660828,0.5042938590049744,0.0,0.0,0.2878156006336212,0.374393880367279,0.0,0.0,0.9239679574966432,0.9001340270042419,0.0,0.0,0.4165580868721008,0.1527132540941238,0.0,0.0,0.1901696175336837,0.1743741631507873,0.0,0.0,0.5766462683677673,0.5533447265625,0.0,0.0,0.1606660634279251,0.0818361863493919,0.3227565884590149,0.3062233030796051,0.0,0.0,0.665877103805542,0.4077587425708771,0.0,0.0,0.0093831364065408,0.1202499419450759,0.4823506474494934,0.4690465927124023,0.0,0.0,0.84,0.84,0.85,0.83,0.83,0.83,0.82,0.83,0.83,0.84,0.85,0.83,0.83,0.83,0.84,0.85,0.84,0.85,0.83,0.84,0.82,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.92,0.94,0.92,0.91,0.92,0.91,0.89,0.91,0.9,0.89,0.9,0.9,0.89,0.89,0.87,0.87,0.87,0.87,0.87,0.86,0.87,0.87,0.87,0.87,0.86,0.86,0.86,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.84,0.85,0.8299999833106995,0.83,0.84,0.8299999833106995,0.85,0.84,0.8199999928474426,0.82,0.8199999928474426,0.82,0.82,0.83,0.82,0.84,0.8199999928474426,0.82,0.84,0.85,0.85,0.92,0.92,0.92,0.92,0.92,0.86,0.88,0.88,0.84,0.88,0.89,0.86,0.89,0.84,0.88
0.3417514972999509,0.0,0.1434154629034509,0.0,0.3213763021787555,0.0,0.4285923513538662,0.0,0.8746880120481928,0.0,0.3368087062617107,0.0,0.045,0.0,0.0146028285061167,0.0,0.0883150437918598,0.0,0.136302438880359,0.0,0.627404141276994,0.0,0.4235081076622009,0.5487105846405029,0.0,0.0,0.0,0.0,0.0,0.1205519437789917,0.1117451339960098,0.5307013988494873,0.4539883434772491,0.0,0.0,0.3159316480159759,0.438683420419693,0.0,0.0,0.9227440357208252,0.9068920016288756,0.0,0.0,0.3896182775497436,0.1478987783193588,0.0,0.0,0.1942612081766128,0.1916980743408203,0.0,0.0,0.6677248477935791,0.492735356092453,0.0,0.0,0.2136251181364059,0.1048487797379493,0.3447180390357971,0.3024481832981109,0.0,0.0,0.7037153840065002,0.356367290019989,0.0,0.0,0.0116101829335093,0.0999704152345657,0.480286180973053,0.4426326155662536,0.0,0.0,0.85,0.85,0.86,0.85,0.85,0.85,0.84,0.85,0.85,0.86,0.88,0.85,0.85,0.85,0.87,0.87,0.86,0.88,0.85,0.86,0.86,0.88,0.87,0.87,0.88,0.87,0.88,0.88,0.87,0.87,0.93,0.94,0.93,0.92,0.93,0.93,0.91,0.93,0.91,0.91,0.92,0.92,0.91,0.91,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.86,0.8500000238418579,0.85,0.86,0.8500000238418579,0.87,0.86,0.8399999737739563,0.84,0.8399999737739563,0.84,0.84,0.86,0.84,0.86,0.8399999737739563,0.84,0.86,0.86,0.87,0.93,0.93,0.93,0.93,0.93,0.88,0.9,0.9,0.85,0.89,0.91,0.87,0.91,0.85,0.9
0.3349429553264604,0.0,0.143570823700551,0.0,0.2970086705962401,0.0209173803637647,0.3804177910114451,0.0,0.8456299397590361,0.0,0.3188556364111726,0.0154750145264381,0.094,0.0,0.0158584993343213,0.0,0.1176962905718701,0.0,0.1883682827447738,0.0,0.6461965674887571,0.0,0.477312296628952,0.5965830087661743,1.1565631211851723e-5,0.0002886770816985,0.6110000014305115,0.0,0.0,0.1187661066651344,0.1170311421155929,0.5075708627700806,0.4213496744632721,0.014103683643043,0.013251231983304,0.3126613199710846,0.4550824463367462,0.0,0.0,0.9342017769813538,0.8940984010696411,0.0,0.0,0.3657805025577545,0.1425862163305282,0.0037037308793514,0.0038945693522691,0.2703485786914825,0.2110531330108642,0.0,0.0,0.4095993340015411,0.2758515477180481,0.0,0.0,0.2471918761730194,0.1250594109296798,0.3456984460353851,0.3206250071525574,0.0,0.0,0.8121960163116455,0.4188291132450104,0.0,0.0,0.0065279388800263,0.0948227569460868,0.4753292202949524,0.4272591769695282,0.0142568126320838,0.0133327422663569,0.87,0.86,0.87,0.86,0.86,0.86,0.85,0.86,0.86,0.88,0.89,0.86,0.86,0.86,0.88,0.88,0.88,0.89,0.86,0.87,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.94,0.95,0.94,0.93,0.94,0.94,0.92,0.94,0.93,0.93,0.93,0.94,0.93,0.93,0.91,0.91,0.91,0.9,0.91,0.89,0.91,0.91,0.9,0.9,0.89,0.89,0.89,0.86,0.86,0.86,0.86,0.86,0.8600000143051147,0.86,0.87,0.88,0.8600000143051147,0.86,0.88,0.8600000143051147,0.89,0.88,0.8600000143051147,0.86,0.8600000143051147,0.86,0.86,0.88,0.86,0.88,0.8600000143051147,0.86,0.88,0.88,0.88,0.94,0.94,0.94,0.94,0.93,0.89,0.91,0.91,0.87,0.91,0.92,0.88,0.91,0.87,0.91
0.3284765832106038,0.2192195010735466,0.1455551247194594,0.0709635401021904,0.2741029041358056,0.38851556153982,0.4066817716572066,0.05665,0.8316337951807229,0.1098079096045197,0.3122166543204496,0.3790689844405707,0.136,0.1096870570261292,0.0098534753447712,0.0029502933165723,0.1219265842349304,0.1582854260264491,0.2667326680051966,0.0,0.671541535697208,0.1935,0.5007191896438599,0.5856468081474304,0.1971223056316375,0.2055315673351287,0.7829999923706055,0.004496915731579,0.0123342890292406,0.1464044749736786,0.1130752190947532,0.4856512248516083,0.391091376543045,0.2968798875808716,0.2527192533016205,0.3196619749069214,0.5321956872940063,0.0275366604328155,0.0407259911298751,0.924665093421936,0.8727673292160034,0.1404817849397659,0.1054930463433265,0.3590775430202484,0.1417063027620315,0.207561194896698,0.2445985972881317,0.277645856142044,0.2106789797544479,0.0952446386218071,0.0938757210969924,0.2917732298374176,0.1602107286453247,5.837505523231812e-5,0.0004797680594492,0.2466578930616378,0.1380867063999176,0.3533276915550232,0.3670100271701813,0.1079833805561065,0.1254444867372512,0.7470749616622925,0.2657774686813354,0.0002918551035691,0.0,0.0225464608520269,0.1151833608746528,0.4651261270046234,0.4117170870304107,0.2723484337329864,0.2634389102458954,0.88,0.87,0.88,0.87,0.87,0.88,0.86,0.87,0.87,0.89,0.9,0.87,0.87,0.87,0.89,0.89,0.89,0.9,0.87,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.94,0.95,0.94,0.94,0.94,0.94,0.92,0.95,0.94,0.94,0.94,0.95,0.94,0.94,0.91,0.91,0.91,0.9,0.91,0.9,0.91,0.91,0.91,0.91,0.9,0.9,0.9,0.87,0.87,0.87,0.87,0.87,0.8700000047683716,0.87,0.89,0.89,0.8700000047683716,0.87,0.89,0.8700000047683716,0.9,0.89,0.8799999952316284,0.88,0.8799999952316284,0.88,0.88,0.89,0.88,0.89,0.8799999952316284,0.88,0.89,0.89,0.89,0.94,0.94,0.94,0.94,0.94,0.9,0.92,0.92,0.89,0.92,0.93,0.88,0.93,0.89,0.93
