AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1
0.9367552282768778,0.0,0.5295032041501373,0.0,0.3237416676928736,0.0,0.7828898297199218,0.0,0.29027554216867474,0.0,0.7881017473528259,0.0,0.883,0.0,0.6631768193122158,0.0,0.8626306027820712,0.0,0.6772638478800048,0.0,0.41420894570343647,0.0,0.649972677230835,0.0,0.8641796112060547,0.0,0.9627205729484558,0.9627205729484558,0.9627205729484558,0.28234538435935974,0.0,0.7903096079826355,0.0,0.34496861696243286,0.0,0.4515509307384491,0.0,0.8058428168296814,0.0,0.8347896337509155,0.0,0.7907596826553345,0.7907596826553345,0.7907596826553345,0.5382845997810364,0.0,0.7602602243423462,0.0,0.9830036759376526,0.9830036759376526,0.9830036759376526,0.42005661129951477,0.0
0.9371309769268532,0.0,0.6528839182178823,0.0,0.28485160227506356,0.0,0.8320563878291616,0.0,0.3118922891566265,0.0,0.8314157915377577,0.0,0.909,0.0,0.5602232660956065,0.0,0.9292503863987637,0.0,0.6514022676272588,0.0,0.43057408591900037,0.0,0.6587520837783813,0.0,0.860815167427063,0.0,0.9827545881271362,0.9827545881271362,0.9827545881271362,0.2768411338329315,0.0,0.7954429388046265,0.0,0.3452553153038025,0.0,0.4734078645706177,0.0,0.7960357666015625,0.0,0.8137962222099304,0.0,0.8685813546180725,0.8685813546180725,0.8685813546180725,0.549268901348114,0.0,0.7580549716949463,0.0,0.9830036759376526,0.9830036759376526,0.9830036759376526,0.4081900417804718,0.0
0.910814531173294,0.0,0.8319281660054928,0.0,0.24754269407504956,0.0,0.8205655531776309,0.0,0.33192813253012043,0.0,0.7464486905747526,0.0,0.941,0.0,0.45134002361275083,0.0,0.9131074188562598,0.0,0.5475779201606237,0.0,0.41823200981853853,0.0,0.660192608833313,0.0,0.8641515374183655,0.0,0.9788654446601868,0.9788654446601868,0.9788654446601868,0.268049955368042,0.0,0.8133847713470459,0.0,0.3379240036010742,0.0,0.4669263958930969,0.0,0.7880121469497681,0.0,0.7928934693336487,0.0,0.8375908136367798,0.8375908136367798,0.8375908136367798,0.5685491561889648,0.0,0.7505121231079102,0.0,0.9830036759376526,0.9830036759376526,0.9830036759376526,0.3973287045955658,0.0
0.8271698576337752,0.0,0.8472630454684162,0.0,0.16575738509561252,0.0,0.8284729692007071,0.0,0.30703265060240964,0.0,0.8241833195346203,0.0,0.895,0.0,0.23781938757567384,0.0,0.9110074703760949,0.0,0.4200498700838551,0.0,0.41384283931117416,0.0,0.6405291557312012,0.0,0.8625504970550537,0.0,0.9573932886123657,0.9573932886123657,0.9573932886123657,0.25758057832717896,0.0,0.8102665543556213,0.0,0.33967307209968567,0.0,0.4647342562675476,0.0,0.764423668384552,0.0,0.7713427543640137,0.0,0.7812210917472839,0.7812210917472839,0.7812210917472839,0.580012857913971,0.0,0.7420201897621155,0.0,0.9830036759376526,0.9830036759376526,0.9830036759376526,0.379702091217041,0.0
0.7533548355424643,0.0,0.8924794629234055,0.0,0.13710609245651564,0.0,0.787508420954685,0.0,0.3336127710843373,0.0,0.8704867314479933,0.0,0.983,0.0,0.18939644301539854,0.0,0.937284131890778,0.0,0.31294416558403215,0.0,0.4192534418921389,0.0,0.6350328922271729,0.0,0.8566218614578247,0.0,0.9750405550003052,0.9750405550003052,0.9750405550003052,0.24449868500232697,0.0,0.7658160924911499,0.0,0.3388034403324127,0.0,0.4626592993736267,0.0,0.7368638515472412,0.0,0.7621006965637207,0.0,0.8017028570175171,0.8017028570175171,0.8017028570175171,0.5867848992347717,0.0,0.7442474365234375,0.0,0.9830036759376526,0.9830036759376526,0.9830036759376526,0.3541318476200104,0.0
0.8030174766813941,0.0,0.9215170582850168,0.0,0.11256296158496883,0.0,0.7076012840792779,0.0,0.31988951807228916,0.0,0.8909177306200705,0.0,0.968,0.0,0.35252724258333545,0.0,0.9704299330242143,0.0,0.2948447206802882,0.0,0.28727211723665474,0.0,0.6245166659355164,0.0,0.8576123118400574,0.0,0.9756518602371216,0.9756518602371216,0.9756518602371216,0.23434020578861237,0.0,0.7345932722091675,0.0,0.33029499650001526,0.0,0.47599107027053833,0.0,0.6779239773750305,0.0,0.7653039693832397,0.0,0.9026522636413574,0.9026522636413574,0.9026522636413574,0.579799234867096,0.0,0.7360151410102844,0.0,0.9487306475639343,0.9487306475639343,0.9487306475639343,0.3255942463874817,0.0
0.8410006872852236,0.0,0.9134230698809886,0.0,0.09416303599665146,0.0,0.6269511491579045,0.0,0.32728915662650604,0.0,0.8898281842346071,0.0,0.983,0.0,0.34833105579140394,0.0,0.9363307573415766,0.0,0.3526072103460494,0.0,0.2537280058615442,0.0,0.6066705584526062,0.0,0.8584209680557251,0.0,0.9736101031303406,0.9736101031303406,0.9736101031303406,0.22523583471775055,0.0,0.7156839966773987,0.0,0.32546982169151306,0.0,0.4918174743652344,0.0,0.6538035869598389,0.0,0.7686346769332886,0.0,0.9184464812278748,0.9184464812278748,0.9184464812278748,0.5678727030754089,0.0,0.733521580696106,0.0,0.9709999561309814,0.9709999561309814,0.9709999561309814,0.30383992195129395,0.0
0.48965783014236625,0.0,0.9214296612755568,0.0,0.07548934982792298,0.0,0.5570726714431935,0.0,0.33145662650602414,0.0,0.7551726001132947,0.0,0.959,0.0,0.29584907935391497,0.0,0.8064082946934571,0.0,0.4207605113971891,0.0,0.1828758261535536,0.0,0.580615758895874,0.0,0.8784769773483276,0.0,0.9798186421394348,0.9798186421394348,0.9798186421394348,0.219071164727211,0.0,0.700140655040741,0.0,0.3244538903236389,0.0,0.4865857660770416,0.0,0.6399597525596619,0.0,0.7733820080757141,0.0,0.9234762787818909,0.9234762787818909,0.9234762787818909,0.5623752474784851,0.0,0.7307472229003906,0.0,0.9415914416313171,0.9415914416313171,0.9415914416313171,0.29315224289894104,0.0
0.5007079037800687,0.0,0.7154172108635948,0.0,0.06220723653613617,0.0,0.4330092118730809,0.0,0.29927325301204816,0.0,0.7536527953287724,0.0,0.937,0.0,0.3026633424602477,0.0,0.8559247810407007,0.0,0.5051597673319949,0.0,0.21968109970181365,0.0,0.5624427795410156,0.0,0.8848190903663635,0.0,0.9828106164932251,0.9828106164932251,0.9828106164932251,0.21398407220840454,0.0,0.6883442401885986,0.0,0.32191887497901917,0.0,0.4883750379085541,0.0,0.6337524056434631,0.0,0.7806180715560913,0.0,0.9600074887275696,0.9600074887275696,0.9600074887275696,0.5616286993026733,0.0,0.717734694480896,0.0,0.9004411697387695,0.9004411697387695,0.9004411697387695,0.29400137066841125,0.0
0.7113120274914089,0.003204647335097465,0.9029904790967348,0.0,0.07172527206771463,0.04090316528341868,0.40692853819670605,0.0,0.28095072289156625,0.0,0.7605211991807922,0.0416686680870295,0.837,0.0,0.43526112185686655,0.0,0.7607174137042763,0.0003789040590380259,0.5282943191212944,0.0,0.28854603171828574,0.0,0.5286037921905518,0.0027509392239153385,0.8854949474334717,0.0,0.9801062345504761,0.9801062345504761,0.9801062345504761,0.2204136699438095,0.015357015654444695,0.6786825656890869,0.0,0.3125492334365845,0.0,0.5180744528770447,0.008989405818283558,0.6272591352462769,2.920312363130506e-5,0.7910189628601074,0.0,0.9626259207725525,0.9626259207725525,0.9626259207725525,0.533882200717926,0.0,0.7188623547554016,0.0,0.9821398854255676,0.9821398854255676,0.9821398854255676,0.2998884320259094,0.012934688478708267
