elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
14760.0,25033.0,12947.0,5260.0,3062.0,3612.0,7781.0,10928.0,7738.0,18273.0,3125.0
14016.0,24933.0,12295.0,5052.0,2915.0,3489.0,7685.0,10781.0,7433.0,18085.0,3034.0
12940.0,23495.0,11431.0,4715.0,2704.0,3268.0,7307.0,10228.0,6962.0,17214.0,2909.0
11756.0,21999.0,10559.0,4363.0,2493.0,3037.0,6949.0,9614.0,6401.0,16172.0,2723.0
10800.0,20229.0,9900.0,4000.0,2301.0,2838.0,6512.0,8866.0,5830.0,14854.0,2618.0
10184.0,18061.0,9455.0,3759.0,2199.0,2713.0,6021.0,8068.0,5533.0,13494.0,2575.0
9787.0,16369.0,9252.0,3624.0,2143.0,2666.0,5613.0,7394.0,5385.0,12370.0,2579.0
9592.0,15209.0,9031.0,3511.0,2075.0,2646.0,5328.0,7027.0,5264.0,11693.0,2546.0
9771.0,14373.0,9016.0,3507.0,2104.0,2682.0,5124.0,6839.0,5236.0,11348.0,2536.0
10505.0,13906.0,9363.0,3641.0,2170.0,2794.0,5056.0,6767.0,5402.0,11182.0,2529.0
11894.0,13849.0,10370.0,4039.0,2449.0,3024.0,5158.0,6917.0,5970.0,11518.0,2582.0
12967.0,14738.0,11460.0,4599.0,2777.0,3218.0,5360.0,7607.0,6875.0,12528.0,2745.0
13681.0,16822.0,12491.0,5003.0,2965.0,3468.0,5909.0,8750.0,7524.0,14520.0,2926.0
13692.0,19526.0,12622.0,5108.0,2948.0,3588.0,6325.0,9675.0,7622.0,15985.0,3026.0
13299.0,21771.0,12376.0,5059.0,2878.0,3594.0,6768.0,10024.0,7544.0,16568.0,3131.0
12859.0,22441.0,11876.0,4917.0,2798.0,3552.0,6962.0,10016.0,7368.0,16486.0,3086.0
12653.0,22014.0,11640.0,4792.0,2735.0,3505.0,6849.0,9895.0,7223.0,16246.0,3049.0
12523.0,21613.0,11378.0,4707.0,2715.0,3455.0,6663.0,9675.0,7095.0,15819.0,3012.0
12374.0,21549.0,11309.0,4612.0,2679.0,3397.0,6604.0,9501.0,6988.0,15505.0,2987.0
12689.0,21178.0,11629.0,4608.0,2728.0,3399.0,6533.0,9393.0,7022.0,15275.0,3051.0
13207.0,20697.0,12175.0,4681.0,2842.0,3334.0,6470.0,9268.0,7135.0,15057.0,3060.0
