No_fuel,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_naturalgas,pacific_uranium,pacific_coal
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
0.0,4.8794,14.5698,2.1155,14.3651,2.1155,5.05
